pair,m,family,bags_per_class,largest_requested_r_supported,valid_requested_dimensions
airplane vs bird,4,large_mu,75,24,8
airplane vs bird,4,small_mu,75,24,8
airplane vs bird,8,large_mu,37,24,8
airplane vs bird,8,small_mu,37,24,8
airplane vs bird,16,large_mu,18,16,7
airplane vs bird,16,small_mu,18,16,7
airplane vs ship,4,large_mu,75,24,8
airplane vs ship,4,small_mu,75,24,8
airplane vs ship,8,large_mu,37,24,8
airplane vs ship,8,small_mu,37,24,8
airplane vs ship,16,large_mu,18,16,7
airplane vs ship,16,small_mu,18,16,7
automobile vs truck,4,large_mu,75,24,8
automobile vs truck,4,small_mu,75,24,8
automobile vs truck,8,large_mu,37,24,8
automobile vs truck,8,small_mu,37,24,8
automobile vs truck,16,large_mu,18,16,7
automobile vs truck,16,small_mu,18,16,7
cat vs dog,4,large_mu,75,24,8
cat vs dog,4,small_mu,75,24,8
cat vs dog,8,large_mu,37,24,8
cat vs dog,8,small_mu,37,24,8
cat vs dog,16,large_mu,18,16,7
cat vs dog,16,small_mu,18,16,7
deer vs horse,4,large_mu,75,24,8
deer vs horse,4,small_mu,75,24,8
deer vs horse,8,large_mu,37,24,8
deer vs horse,8,small_mu,37,24,8
deer vs horse,16,large_mu,18,16,7
deer vs horse,16,small_mu,18,16,7
ship vs truck,4,large_mu,75,24,8
ship vs truck,4,small_mu,75,24,8
ship vs truck,8,large_mu,37,24,8
ship vs truck,8,small_mu,37,24,8
ship vs truck,16,large_mu,18,16,7
ship vs truck,16,small_mu,18,16,7
